repo,baseline,state,query_id,query_type,eligible,n_relevant,stale_rank,fresh_rank,recall1_stale,recall3_stale,recall5_stale,recall10_stale,mrr_stale,recall1_fresh,recall3_fresh,recall5_fresh,recall10_fresh,mrr_fresh
PostSpark 3,A,5192f8bcc,q-040,feature-stable,1,3,3,7,0.0,0.333333,0.666667,0.666667,0.333333,0.0,0.0,0.0,0.666667,0.142857
PostSpark 3,A,5192f8bcc,q-044,editor-deleted,1,2,1,1,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
PostSpark 3,A,5192f8bcc,q-045,ui-deleted,1,1,6,3,0.0,0.0,0.0,1.0,0.166667,0.0,1.0,1.0,1.0,0.333333
PostSpark 3,A,5192f8bcc,q-046,view-added,1,1,2,2,0.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,0.5
PostSpark 3,A,fd26cb58f,q-001,auth-modified,1,2,60,18,0.0,0.0,0.0,0.0,0.016667,0.0,0.0,0.0,0.0,0.055556
PostSpark 3,A,fd26cb58f,q-002,auth-central,1,3,3,2,0.0,0.333333,0.666667,0.666667,0.333333,0.0,0.666667,0.666667,0.666667,0.5
PostSpark 3,A,fd26cb58f,q-003,billing-central,1,2,1,1,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
PostSpark 3,A,fd26cb58f,q-004,billing-infra,1,2,1,1,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
PostSpark 3,A,fd26cb58f,q-005,ui-peripheral,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PostSpark 3,A,fd26cb58f,q-006,ui-peripheral,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PostSpark 3,A,fd26cb58f,q-007,db-config,1,1,6,5,0.0,0.0,0.0,1.0,0.166667,0.0,0.0,1.0,1.0,0.2
PostSpark 3,A,fd26cb58f,q-008,db-central,1,1,39,28,0.0,0.0,0.0,0.0,0.025641,0.0,0.0,0.0,0.0,0.035714
PostSpark 3,A,fd26cb58f,q-009,db-added,1,1,-1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
PostSpark 3,A,fd26cb58f,q-010,ai-central,1,1,2,1,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
PostSpark 3,A,fd26cb58f,q-014,ai-stable,1,2,1,7,0.5,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.142857
PostSpark 3,A,fd26cb58f,q-015,feature-stable,1,3,16,1,0.0,0.0,0.0,0.0,0.0625,0.333333,0.333333,0.333333,0.333333,1.0
PostSpark 3,A,fd26cb58f,q-016,feature-added,1,1,-1,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5
PostSpark 3,A,fd26cb58f,q-018,ai-added,1,1,-1,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028571
